timeStamp,blockReward
1447986785,5.0025122
1447986817,5.0021
1447986862,5.00105
1447986893,5.0
1447986898,5.0
1447986903,5.0
1447986907,5.00105
1447986915,5.0
1447986941,5.00378
1447986951,5.0
1447986967,5.0
1447986979,5.00105
1447986990,5.00105
1447987019,5.0
1447987026,5.0
1447987033,5.0
1447987051,5.00212235
1447987054,5.0
1447987057,5.0
1447987072,5.0
1447987093,5.0
1447987104,5.0
1447987189,5.00231
1447987225,5.04642896
1447987288,5.00105
1447987344,5.00105
1447987361,5.0
1447987379,5.0
1447987391,5.0
1447987469,5.00357
1447987486,5.0
1447987503,5.0
1447987524,5.0
1447987549,5.0
1447987572,5.0
1447987574,5.0
1447987589,5.0
1447987598,5.00105
1447987633,5.0
1447987635,5.0
1447987640,5.00105
1447987645,5.0
1447987678,5.00126
1447987687,5.00252
1447987714,5.0021
1447987718,5.00105
1447987732,5.0
1447987762,5.0
1447987790,5.0
1447987799,5.0
1447987810,5.01671355
1447987828,5.0
1447987837,5.00374605
1447987842,5.0
1447987858,5.0
1447987861,5.0
1447987891,5.00105
1447987896,5.15625
1447987915,5.0
1447987923,5.0035812
1447987996,5.00483
1447988015,5.0
1447988063,5.0
1447988066,5.0
1447988072,5.0
1447988079,5.15625
1447988096,5.0
1447988117,5.0021
1447988144,5.0
1447988163,5.0
1447988194,5.02887625
1447988226,5.02894935
1447988239,5.0
1447988260,5.19756085
1447988261,5.03267235
1447988265,5.0
1447988278,5.0
1447988280,5.0
1447988285,5.0
1447988305,5.03453385
1447988312,5.03744535
1447988341,5.03825685
1447988362,5.0
1447988379,5.0021
1447988387,5.04011835
1447988418,5.0194096
1447988448,5.0442282
1447988472,5.04384135
1447988502,5.00483
1447988510,5.00105
1447988514,5.0021
1447988537,5.0
1447988567,5.01155
1447988585,5.0
1447988610,5.00105
1447988629,5.02588605
1447988635,5.0
1447988637,5.15625
1447988657,5.0
1447988661,5.0
1447988668,5.0
1447988678,5.00126
1447988683,5.00126
1447988689,5.00126
1447988709,5.00105
1447988728,5.00212235
1447988735,5.0
1447988831,5.00105
1447988836,5.04077795
1447988837,5.0
1447988847,5.0453426
1447988857,5.0472334
1447988867,5.0
1447988877,5.0491242
1447988879,5.0
1447988898,5.051015
1447988907,5.0539558
1447988948,5.00357
1447988952,5.0
1447988971,5.0547966
1447988978,5.0566874
1447989000,5.0
1447989001,5.0585782
1447989006,5.01671803
1447989015,5.00269605
1447989028,5.061519
1447989056,5.0
1447989095,5.00175705
1447989137,5.0021
1447989161,5.0
1447989179,5.00105
1447989196,5.00735
1447989210,5.1573
1447989212,5.0
1447989223,5.0
1447989232,5.00105
1447989235,5.0
1447989257,5.0
1447989258,5.0
1447989262,5.00105
1447989269,5.0
1447989326,5.027989
1447989331,5.00105
1447989339,5.0
1447989342,5.0
1447989359,5.0
1447989368,5.0
1447989371,5.0
1447989404,5.00105
1447989409,5.0
1447989412,5.0
1447989415,5.0
1447989420,5.0
1447989428,5.00105
1447989434,5.00126
1447989443,5.00378
1447989461,5.15961
1447989486,5.0
1447989515,5.00105
1447989530,5.0
1447989543,5.0
1447989558,5.00105
1447989566,5.0
1447989585,5.00105
1447989587,5.0
1447989621,5.02337063
1447989655,5.0
1447989674,5.0021
1447989693,5.00462
1447989714,5.0
1447989733,5.0
1447989769,5.0
1447989772,5.0
1447989780,5.0
1447989791,5.0
1447989793,5.0
1447989821,5.00105
1447989835,5.05683745
1447989840,5.00105
1447989849,5.0631472
1447989862,5.0
1447989864,5.0
1447989919,5.00105
1447989932,5.0021
1447989949,5.00252
1447989968,5.065932
1447989971,5.0
1447989974,5.0687168
1447989996,5.0
1447990012,5.0
1447990020,5.0
1447990033,5.0
1447990051,5.0
1447990069,5.0
1447990084,5.0715016
1447990103,5.0753364
1447990107,5.0
1447990116,5.0
1447990118,5.0
1447990140,5.0
1447990161,5.15625
1447990178,5.0
1447990187,5.00126
1447990214,5.01941408
1447990225,5.0
1447990231,5.0
1447990255,5.0770712
1447990261,5.08197835
1447990301,5.0
1447990316,5.0
1447990325,5.08473465
1447990335,5.0854256
1447990417,5.0
1447990436,5.0
1447990441,5.0
1447990456,5.15625
1447990480,5.0
1447990486,5.0
1447990501,5.0
1447990517,5.00105
1447990536,5.0
1447990549,5.0
1447990564,5.0
1447990566,5.0
1447990569,5.0
1447990581,5.0
1447990602,5.0
1447990664,5.1573
1447990672,5.0
1447990677,5.0
1447990688,5.00126
1447990710,5.0
1447990717,5.0
1447990748,5.0
1447990768,5.0
1447990790,5.0
1447990823,5.17566408
1447990895,5.0
1447990911,5.15625
1447990956,5.00231
1447990965,5.0
1447990968,5.0
1447991030,5.00525
1447991031,5.0
1447991037,5.0
1447991038,5.0
1447991070,5.1573
1447991095,5.0
1447991104,5.15835
1447991117,5.0
1447991122,5.15625
1447991126,5.0
1447991131,5.15625
1447991152,5.0
1447991161,5.0
1447991170,5.15625
1447991225,5.0105
1447991232,5.00105
1447991235,5.00105
1447991247,5.00105
1447991255,5.0021
1447991285,5.00315
1447991299,5.0
1447991312,5.00315
1447991360,5.0063
1447991390,5.00105
1447991462,5.03957408
1447991465,5.0042
1447991485,5.00105
1447991520,5.00105
1447991540,5.0
1447991616,5.00525
1447991623,5.0042
1447991626,5.0042
1447991640,5.0
1447991643,5.0021
1447991686,5.01691735
1447991721,5.01722
1447991725,5.0
1447991733,5.0
1447991756,5.0
1447991768,5.00105
1447991783,5.00105
1447991784,5.0
1447991817,5.0
1447991824,5.00105
1447991837,5.15625
1447991845,5.0
1447991851,5.0
1447991857,5.16070044
1447991914,5.00105
1447991922,5.0
1447992004,5.02532803
1447992012,5.03045625
1447992018,5.0
1447992028,5.00105
1447992049,5.0
1447992088,5.0
1447992101,5.00105
1447992172,5.00105
1447992207,5.00252
1447992263,5.0
1447992278,5.0
1447992290,5.0
1447992300,5.0
1447992303,5.00105
1447992316,5.0
1447992328,5.0
1447992339,5.00105
1447992386,5.0021
1447992414,5.0021
1447992428,5.0
1447992435,5.0
1447992439,5.16627642
1447992446,5.00126
1447992450,5.00252
1447992493,5.15625
1447992524,5.0
1447992538,5.0
1447992542,5.0
1447992556,5.0
1447992594,5.0
1447992683,5.1788096
1447992689,5.15625
1447992702,5.00126
1447992732,5.00212235
1447992738,5.0
1447992769,5.1573
1447992770,5.15625
1447992848,5.00105
1447992877,5.0
1447992881,5.0
1447992902,5.0
1447992938,5.0
1447992958,5.00231
1447992977,5.00252
1447992982,5.0
1447992992,5.0
1447993038,5.00105
1447993061,5.0044061
1447993062,5.0021
1447993086,5.0
1447993132,5.00105
1447993169,5.0
1447993185,5.0
1447993186,5.0
1447993189,5.0
1447993190,5.0
1447993209,5.01923803
1447993235,5.00269605
1447993316,5.01155
1447993342,5.00105
1447993347,5.15625
1447993348,5.0
1447993367,5.0
1447993371,5.0
1447993389,5.00105
1447993400,5.0
1447993418,5.01155
1447993426,5.00105
1447993451,5.00357
1447993467,5.00105
1447993474,5.0
1447993493,5.15625
1447993506,5.0
1447993521,5.00105
1447993554,5.16654555
1447993584,5.00105
1447993614,5.0
1447993669,5.0
1447993688,5.0
1447993690,5.0
1447993707,5.00483
1447993715,5.0
1447993741,5.0
1447993744,5.0
1447993757,5.00105
1447993762,5.0
1447993765,5.0
1447993777,5.0021
1447993779,5.0
1447993809,5.01776803
1447993823,5.00374605
1447993830,5.0
1447993833,5.00105
1447993836,5.0
1447993856,5.00212235
1447993867,5.15625
1447993870,5.0
1447993906,5.0
1447993915,5.00105
1447993941,5.0
1447993949,5.00357
1447993968,5.00378
1447994015,5.00105
1447994019,5.0
1447994031,5.0
1447994064,5.00105
1447994102,5.0
1447994113,5.0021
